Sample 1
1/11/2024 1:05:30 AM
Wavelength (nm)	10mm Absorbance
257.0	0.071
257.5	0.064
258.0	0.058
258.5	0.055
259.0	0.053
259.5	0.051
260.0	0.050
260.5	0.049
261.0	0.048
261.5	0.047
262.0	0.046
262.5	0.046
263.0	0.043
263.5	0.040
264.0	0.040
264.5	0.039
265.0	0.042
265.5	0.044
266.0	0.043
266.5	0.042
267.0	0.042
267.5	0.040
268.0	0.036
268.5	0.032
269.0	0.029
269.5	0.028
270.0	0.026
270.5	0.027
271.0	0.027
271.5	0.027
272.0	0.028
272.5	0.027
273.0	0.024
273.5	0.021
274.0	0.020
274.5	0.019
275.0	0.018
275.5	0.019
276.0	0.020
276.5	0.022
277.0	0.022
277.5	0.022
278.0	0.020
278.5	0.020
279.0	0.018
279.5	0.017
280.0	0.018
280.5	0.017
281.0	0.018
281.5	0.017
282.0	0.016
282.5	0.014
283.0	0.013
283.5	0.012
284.0	0.011
284.5	0.011
285.0	0.011
285.5	0.012
286.0	0.012
286.5	0.012
287.0	0.011
287.5	0.009
288.0	0.009
288.5	0.010
289.0	0.009
289.5	0.010
290.0	0.010
290.5	0.009
291.0	0.009
291.5	0.007
292.0	0.007
292.5	0.005
293.0	0.003
293.5	0.003
294.0	0.001
294.5	0.000
295.0	0.000
295.5	-0.001
296.0	-0.002
296.5	-0.002
297.0	-0.002
297.5	-0.003
298.0	-0.002
298.5	-0.002
299.0	-0.001
299.5	0.000
300.0	0.000
300.5	0.001
301.0	0.001
301.5	0.004
302.0	0.005
302.5	0.006
303.0	0.006
303.5	0.005
304.0	0.005
304.5	0.005
305.0	0.005
305.5	0.004
306.0	0.004
306.5	0.004
307.0	0.003
307.5	0.003
308.0	0.002
308.5	0.001
309.0	-0.001
309.5	-0.003
310.0	-0.004
310.5	-0.003
311.0	-0.002
311.5	-0.001
312.0	-0.001
312.5	-0.001
313.0	0.001
313.5	0.000
314.0	-0.001
314.5	-0.001
315.0	-0.001
315.5	-0.001
316.0	-0.001
316.5	0.000
317.0	0.001
317.5	0.003
318.0	0.003
318.5	0.002
319.0	0.000
319.5	0.001
320.0	0.001
320.5	0.001
321.0	0.001
321.5	0.002
322.0	0.003
322.5	0.003
323.0	0.003
323.5	0.002
324.0	0.001
324.5	0.000
325.0	-0.001
325.5	-0.001
326.0	-0.001
326.5	0.001
327.0	0.000
327.5	0.000
328.0	0.001
328.5	-0.001
329.0	-0.001
329.5	-0.002
330.0	-0.002
330.5	-0.002
331.0	-0.001
331.5	0.000
332.0	0.001
332.5	0.003
333.0	0.003
333.5	0.002
334.0	0.002
334.5	0.001
335.0	0.000
335.5	-0.001
336.0	-0.001
336.5	-0.002
337.0	-0.001
337.5	0.000
338.0	0.001
338.5	0.001
339.0	0.003
339.5	0.002
340.0	0.000
340.5	-0.001
341.0	0.000
341.5	0.001
342.0	0.001
342.5	0.002
343.0	0.003
343.5	0.003
344.0	0.004
344.5	0.003
345.0	0.003
345.5	0.000
346.0	0.000
346.5	0.000
347.0	-0.001
347.5	-0.001
348.0	-0.001
348.5	-0.003
349.0	-0.003
349.5	-0.004
350.0	-0.004


Sample 3
1/11/2024 1:17:57 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17000	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.28000	
//WLCalib: 484S 	-0.08000	
//WLCalib: 529S 	0.31000	
//WLCalib: 823S 	-0.39000	
//QSpecEnd: 
A260/A280	-4.970
A260/A230	0.004
A260	0.018
A280	-0.004
220.0	7.845
220.5	7.726
221.0	7.591
221.5	7.437
222.0	7.264
222.5	7.076
223.0	6.874
223.5	6.650
224.0	6.399
224.5	6.132
225.0	5.870
225.5	5.641
226.0	5.443
226.5	5.268
227.0	5.108
227.5	4.960
228.0	4.825
228.5	4.698
229.0	4.575
229.5	4.449
230.0	4.320
230.5	4.187
231.0	4.048
231.5	3.903
232.0	3.742
232.5	3.567
233.0	3.379
233.5	3.183
234.0	2.979
234.5	2.769
235.0	2.557
235.5	2.349
236.0	2.154
236.5	1.970
237.0	1.795
237.5	1.626
238.0	1.458
238.5	1.300
239.0	1.157
239.5	1.037
240.0	0.936
240.5	0.849
241.0	0.777
241.5	0.714
242.0	0.656
242.5	0.601
243.0	0.548
243.5	0.496
244.0	0.449
244.5	0.409
245.0	0.373
245.5	0.342
246.0	0.315
246.5	0.290
247.0	0.266
247.5	0.244
248.0	0.224
248.5	0.205
249.0	0.188
249.5	0.174
250.0	0.162
250.5	0.149
251.0	0.139
251.5	0.128
252.0	0.118
252.5	0.107
253.0	0.096
253.5	0.087
254.0	0.079
254.5	0.071
255.0	0.063
255.5	0.057
256.0	0.052
256.5	0.045
257.0	0.038
257.5	0.031
258.0	0.027
258.5	0.023
259.0	0.020
259.5	0.019
260.0	0.018
260.5	0.017
261.0	0.017
261.5	0.015
262.0	0.014
262.5	0.014
263.0	0.012
263.5	0.011
264.0	0.011
264.5	0.012
265.0	0.014
265.5	0.014
266.0	0.014
266.5	0.014
267.0	0.012
267.5	0.010
268.0	0.006
268.5	0.002
269.0	0.000
269.5	-0.001
270.0	-0.002
270.5	-0.001
271.0	-0.002
271.5	-0.002
272.0	-0.002
272.5	-0.004
273.0	-0.005
273.5	-0.006
274.0	-0.007
274.5	-0.007
275.0	-0.007
275.5	-0.006
276.0	-0.004
276.5	-0.003
277.0	-0.003
277.5	-0.004
278.0	-0.004
278.5	-0.003
279.0	-0.005
279.5	-0.005
280.0	-0.004
280.5	-0.004
281.0	-0.004
281.5	-0.005
282.0	-0.005
282.5	-0.006
283.0	-0.007
283.5	-0.009
284.0	-0.008
284.5	-0.008
285.0	-0.006
285.5	-0.007
286.0	-0.008
286.5	-0.007
287.0	-0.006
287.5	-0.007
288.0	-0.007
288.5	-0.008
289.0	-0.008
289.5	-0.008
290.0	-0.007
290.5	-0.006
291.0	-0.005
291.5	-0.008
292.0	-0.008
292.5	-0.009
293.0	-0.010
293.5	-0.011
294.0	-0.012
294.5	-0.014
295.0	-0.013
295.5	-0.014
296.0	-0.014
296.5	-0.013
297.0	-0.013
297.5	-0.013
298.0	-0.013
298.5	-0.014
299.0	-0.013
299.5	-0.012
300.0	-0.012
300.5	-0.010
301.0	-0.009
301.5	-0.008
302.0	-0.007
302.5	-0.005
303.0	-0.006
303.5	-0.005
304.0	-0.006
304.5	-0.006
305.0	-0.006
305.5	-0.006
306.0	-0.006
306.5	-0.006
307.0	-0.007
307.5	-0.009
308.0	-0.009
308.5	-0.011
309.0	-0.013
309.5	-0.012
310.0	-0.014
310.5	-0.012
311.0	-0.013
311.5	-0.011
312.0	-0.013
312.5	-0.014
313.0	-0.014
313.5	-0.015
314.0	-0.015
314.5	-0.014
315.0	-0.014
315.5	-0.013
316.0	-0.011
316.5	-0.010
317.0	-0.008
317.5	-0.007
318.0	-0.006
318.5	-0.005
319.0	-0.006
319.5	-0.005
320.0	-0.004
320.5	-0.003
321.0	-0.003
321.5	-0.002
322.0	-0.002
322.5	-0.002
323.0	-0.001
323.5	-0.002
324.0	-0.002
324.5	-0.004
325.0	-0.004
325.5	-0.003
326.0	-0.003
326.5	-0.003
327.0	-0.002
327.5	-0.001
328.0	-0.001
328.5	-0.002
329.0	0.000
329.5	-0.001
330.0	-0.002
330.5	-0.002
331.0	-0.002
331.5	-0.003
332.0	-0.002
332.5	-0.001
333.0	-0.002
333.5	-0.003
334.0	-0.003
334.5	-0.004
335.0	-0.004
335.5	-0.004
336.0	-0.004
336.5	-0.004
337.0	-0.003
337.5	-0.001
338.0	0.000
338.5	0.000
339.0	0.001
339.5	0.002
340.0	0.000
340.5	0.000
341.0	0.000
341.5	0.000
342.0	0.001
342.5	0.001
343.0	0.001
343.5	0.000
344.0	0.000
344.5	-0.001
345.0	-0.002
345.5	-0.003
346.0	-0.002
346.5	-0.003
347.0	-0.003
347.5	-0.004
348.0	-0.004
348.5	-0.005
349.0	-0.005
349.5	-0.005
350.0	-0.005


Sample 4
1/11/2024 1:21:06 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17000	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.28000	
//WLCalib: 484S 	-0.08000	
//WLCalib: 529S 	0.31000	
//WLCalib: 823S 	-0.39000	
//QSpecEnd: 
A260/A280	49.893
A260/A230	0.006
A260	0.029
A280	0.001
220.0	8.270
220.5	8.158
221.0	8.018
221.5	7.861
222.0	7.683
222.5	7.484
223.0	7.271
223.5	7.033
224.0	6.769
224.5	6.486
225.0	6.211
225.5	5.968
226.0	5.759
226.5	5.574
227.0	5.405
227.5	5.250
228.0	5.108
228.5	4.974
229.0	4.843
229.5	4.709
230.0	4.573
230.5	4.430
231.0	4.282
231.5	4.126
232.0	3.955
232.5	3.769
233.0	3.570
233.5	3.362
234.0	3.145
234.5	2.924
235.0	2.700
235.5	2.480
236.0	2.272
236.5	2.077
237.0	1.890
237.5	1.709
238.0	1.533
238.5	1.368
239.0	1.218
239.5	1.092
240.0	0.984
240.5	0.893
241.0	0.817
241.5	0.750
242.0	0.690
242.5	0.632
243.0	0.575
243.5	0.520
244.0	0.472
244.5	0.430
245.0	0.393
245.5	0.361
246.0	0.331
246.5	0.305
247.0	0.279
247.5	0.258
248.0	0.236
248.5	0.215
249.0	0.198
249.5	0.183
250.0	0.169
250.5	0.158
251.0	0.147
251.5	0.136
252.0	0.124
252.5	0.113
253.0	0.101
253.5	0.093
254.0	0.083
254.5	0.076
255.0	0.068
255.5	0.064
256.0	0.060
256.5	0.053
257.0	0.047
257.5	0.041
258.0	0.036
258.5	0.034
259.0	0.032
259.5	0.031
260.0	0.029
260.5	0.030
261.0	0.028
261.5	0.027
262.0	0.024
262.5	0.023
263.0	0.021
263.5	0.019
264.0	0.020
264.5	0.021
265.0	0.022
265.5	0.022
266.0	0.021
266.5	0.020
267.0	0.018
267.5	0.016
268.0	0.013
268.5	0.011
269.0	0.008
269.5	0.007
270.0	0.007
270.5	0.008
271.0	0.007
271.5	0.006
272.0	0.004
272.5	0.004
273.0	0.003
273.5	0.002
274.0	0.001
274.5	0.000
275.0	0.000
275.5	0.001
276.0	0.001
276.5	0.002
277.0	0.003
277.5	0.001
278.0	0.000
278.5	0.001
279.0	0.000
279.5	0.000
280.0	0.001
280.5	-0.001
281.0	-0.001
281.5	-0.001
282.0	-0.001
282.5	-0.002
283.0	-0.003
283.5	-0.003
284.0	-0.003
284.5	-0.004
285.0	-0.003
285.5	-0.004
286.0	-0.003
286.5	-0.003
287.0	-0.003
287.5	-0.003
288.0	-0.002
288.5	-0.003
289.0	-0.003
289.5	-0.003
290.0	-0.002
290.5	-0.002
291.0	-0.002
291.5	-0.003
292.0	-0.003
292.5	-0.004
293.0	-0.005
293.5	-0.005
294.0	-0.007
294.5	-0.008
295.0	-0.009
295.5	-0.009
296.0	-0.009
296.5	-0.009
297.0	-0.010
297.5	-0.010
298.0	-0.009
298.5	-0.009
299.0	-0.008
299.5	-0.008
300.0	-0.008
300.5	-0.006
301.0	-0.005
301.5	-0.004
302.0	-0.002
302.5	-0.001
303.0	0.000
303.5	0.000
304.0	0.000
304.5	0.000
305.0	0.000
305.5	0.000
306.0	-0.001
306.5	0.000
307.0	0.000
307.5	0.000
308.0	-0.001
308.5	-0.004
309.0	-0.006
309.5	-0.006
310.0	-0.008
310.5	-0.006
311.0	-0.006
311.5	-0.005
312.0	-0.004
312.5	-0.004
313.0	-0.003
313.5	-0.004
314.0	-0.004
314.5	-0.004
315.0	-0.003
315.5	-0.003
316.0	-0.002
316.5	-0.001
317.0	-0.001
317.5	0.001
318.0	0.001
318.5	0.001
319.0	-0.001
319.5	-0.001
320.0	-0.001
320.5	-0.002
321.0	-0.001
321.5	-0.001
322.0	0.000
322.5	0.000
323.0	0.001
323.5	0.001
324.0	0.001
324.5	0.000
325.0	-0.001
325.5	-0.001
326.0	-0.001
326.5	0.000
327.0	0.000
327.5	0.001
328.0	0.002
328.5	0.001
329.0	0.002
329.5	0.001
330.0	0.001
330.5	0.001
331.0	0.000
331.5	0.000
332.0	0.003
332.5	0.004
333.0	0.003
333.5	0.002
334.0	0.003
334.5	0.003
335.0	0.002
335.5	0.001
336.0	0.001
336.5	0.000
337.0	0.000
337.5	0.000
338.0	0.001
338.5	0.001
339.0	0.002
339.5	0.002
340.0	0.000
340.5	0.000
341.0	0.000
341.5	0.001
342.0	0.001
342.5	0.002
343.0	0.001
343.5	0.001
344.0	0.001
344.5	0.001
345.0	0.001
345.5	0.000
346.0	0.000
346.5	0.000
347.0	0.000
347.5	0.000
348.0	-0.001
348.5	-0.002
349.0	-0.002
349.5	-0.003
350.0	-0.002


Sample 5
1/11/2024 1:23:03 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17000	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.28000	
//WLCalib: 484S 	-0.08000	
//WLCalib: 529S 	0.31000	
//WLCalib: 823S 	-0.39000	
//QSpecEnd: 
A260/A280	-0.960
A260/A230	0.003
A260	0.014
A280	-0.014
220.0	8.177
220.5	8.058
221.0	7.915
221.5	7.753
222.0	7.578
222.5	7.382
223.0	7.176
223.5	6.943
224.0	6.681
224.5	6.405
225.0	6.134
225.5	5.896
226.0	5.692
226.5	5.510
227.0	5.342
227.5	5.190
228.0	5.051
228.5	4.919
229.0	4.790
229.5	4.658
230.0	4.522
230.5	4.381
231.0	4.236
231.5	4.082
232.0	3.912
232.5	3.727
233.0	3.528
233.5	3.321
234.0	3.107
234.5	2.887
235.0	2.664
235.5	2.446
236.0	2.242
236.5	2.048
237.0	1.862
237.5	1.684
238.0	1.508
238.5	1.343
239.0	1.193
239.5	1.065
240.0	0.958
240.5	0.869
241.0	0.794
241.5	0.728
242.0	0.668
242.5	0.611
243.0	0.555
243.5	0.500
244.0	0.451
244.5	0.410
245.0	0.372
245.5	0.341
246.0	0.311
246.5	0.286
247.0	0.262
247.5	0.240
248.0	0.219
248.5	0.198
249.0	0.182
249.5	0.166
250.0	0.154
250.5	0.141
251.0	0.130
251.5	0.119
252.0	0.108
252.5	0.098
253.0	0.087
253.5	0.080
254.0	0.071
254.5	0.063
255.0	0.056
255.5	0.051
256.0	0.045
256.5	0.039
257.0	0.033
257.5	0.026
258.0	0.021
258.5	0.019
259.0	0.017
259.5	0.015
260.0	0.014
260.5	0.013
261.0	0.011
261.5	0.010
262.0	0.009
262.5	0.008
263.0	0.006
263.5	0.005
264.0	0.004
264.5	0.005
265.0	0.007
265.5	0.007
266.0	0.007
266.5	0.006
267.0	0.005
267.5	0.004
268.0	0.000
268.5	-0.003
269.0	-0.006
269.5	-0.007
270.0	-0.009
270.5	-0.009
271.0	-0.010
271.5	-0.010
272.0	-0.011
272.5	-0.012
273.0	-0.013
273.5	-0.015
274.0	-0.016
274.5	-0.018
275.0	-0.019
275.5	-0.018
276.0	-0.015
276.5	-0.014
277.0	-0.013
277.5	-0.013
278.0	-0.014
278.5	-0.013
279.0	-0.014
279.5	-0.015
280.0	-0.014
280.5	-0.015
281.0	-0.014
281.5	-0.014
282.0	-0.013
282.5	-0.013
283.0	-0.013
283.5	-0.015
284.0	-0.016
284.5	-0.015
285.0	-0.015
285.5	-0.015
286.0	-0.015
286.5	-0.014
287.0	-0.013
287.5	-0.014
288.0	-0.014
288.5	-0.014
289.0	-0.014
289.5	-0.015
290.0	-0.014
290.5	-0.014
291.0	-0.014
291.5	-0.014
292.0	-0.015
292.5	-0.017
293.0	-0.018
293.5	-0.019
294.0	-0.021
294.5	-0.022
295.0	-0.023
295.5	-0.023
296.0	-0.023
296.5	-0.023
297.0	-0.023
297.5	-0.023
298.0	-0.022
298.5	-0.022
299.0	-0.021
299.5	-0.020
300.0	-0.018
300.5	-0.017
301.0	-0.015
301.5	-0.012
302.0	-0.011
302.5	-0.009
303.0	-0.008
303.5	-0.007
304.0	-0.006
304.5	-0.005
305.0	-0.005
305.5	-0.006
306.0	-0.006
306.5	-0.006
307.0	-0.007
307.5	-0.008
308.0	-0.009
308.5	-0.010
309.0	-0.012
309.5	-0.012
310.0	-0.012
310.5	-0.011
311.0	-0.010
311.5	-0.009
312.0	-0.009
312.5	-0.010
313.0	-0.009
313.5	-0.009
314.0	-0.009
314.5	-0.008
315.0	-0.008
315.5	-0.008
316.0	-0.006
316.5	-0.005
317.0	-0.002
317.5	-0.002
318.0	-0.002
318.5	0.000
319.0	-0.002
319.5	-0.001
320.0	-0.001
320.5	-0.002
321.0	-0.002
321.5	-0.003
322.0	-0.003
322.5	-0.001
323.0	-0.001
323.5	-0.001
324.0	-0.001
324.5	-0.003
325.0	-0.003
325.5	-0.004
326.0	-0.005
326.5	-0.005
327.0	-0.005
327.5	-0.004
328.0	-0.002
328.5	-0.003
329.0	-0.001
329.5	-0.001
330.0	-0.003
330.5	-0.002
331.0	-0.002
331.5	-0.002
332.0	-0.001
332.5	-0.002
333.0	-0.001
333.5	-0.001
334.0	-0.001
334.5	-0.002
335.0	-0.002
335.5	-0.002
336.0	-0.003
336.5	-0.003
337.0	-0.003
337.5	-0.003
338.0	-0.002
338.5	-0.002
339.0	0.000
339.5	0.000
340.0	0.000
340.5	-0.001
341.0	-0.001
341.5	-0.001
342.0	0.000
342.5	0.000
343.0	-0.002
343.5	-0.002
344.0	-0.001
344.5	0.001
345.0	0.001
345.5	0.000
346.0	0.002
346.5	0.002
347.0	0.001
347.5	0.000
348.0	-0.001
348.5	-0.001
349.0	-0.002
349.5	-0.003
350.0	-0.003


Sample 6
1/11/2024 1:25:32 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17000	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.28000	
//WLCalib: 484S 	-0.08000	
//WLCalib: 529S 	0.31000	
//WLCalib: 823S 	-0.39000	
//QSpecEnd: 
A260/A280	4.609
A260/A230	0.005
A260	0.026
A280	0.006
220.0	9.099
220.5	8.960
221.0	8.802
221.5	8.619
222.0	8.418
222.5	8.201
223.0	7.967
223.5	7.710
224.0	7.426
224.5	7.112
225.0	6.814
225.5	6.551
226.0	6.325
226.5	6.126
227.0	5.943
227.5	5.775
228.0	5.620
228.5	5.473
229.0	5.331
229.5	5.184
230.0	5.033
230.5	4.875
231.0	4.714
231.5	4.542
232.0	4.355
232.5	4.150
233.0	3.931
233.5	3.702
234.0	3.464
234.5	3.219
235.0	2.973
235.5	2.734
236.0	2.510
236.5	2.296
237.0	2.093
237.5	1.897
238.0	1.703
238.5	1.520
239.0	1.355
239.5	1.216
240.0	1.099
240.5	1.000
241.0	0.916
241.5	0.842
242.0	0.776
242.5	0.711
243.0	0.648
243.5	0.587
244.0	0.533
244.5	0.487
245.0	0.445
245.5	0.410
246.0	0.378
246.5	0.348
247.0	0.319
247.5	0.294
248.0	0.269
248.5	0.247
249.0	0.228
249.5	0.210
250.0	0.196
250.5	0.181
251.0	0.168
251.5	0.156
252.0	0.142
252.5	0.128
253.0	0.115
253.5	0.104
254.0	0.093
254.5	0.083
255.0	0.075
255.5	0.069
256.0	0.063
256.5	0.055
257.0	0.047
257.5	0.040
258.0	0.036
258.5	0.034
259.0	0.030
259.5	0.028
260.0	0.026
260.5	0.026
261.0	0.024
261.5	0.023
262.0	0.021
262.5	0.020
263.0	0.018
263.5	0.017
264.0	0.018
264.5	0.018
265.0	0.020
265.5	0.020
266.0	0.019
266.5	0.019
267.0	0.018
267.5	0.017
268.0	0.013
268.5	0.010
269.0	0.009
269.5	0.009
270.0	0.008
270.5	0.009
271.0	0.009
271.5	0.008
272.0	0.009
272.5	0.008
273.0	0.007
273.5	0.005
274.0	0.004
274.5	0.003
275.0	0.003
275.5	0.005
276.0	0.006
276.5	0.008
277.0	0.008
277.5	0.007
278.0	0.005
278.5	0.006
279.0	0.005
279.5	0.005
280.0	0.006
280.5	0.005
281.0	0.006
281.5	0.005
282.0	0.004
282.5	0.002
283.0	0.001
283.5	0.001
284.0	0.000
284.5	0.000
285.0	0.000
285.5	-0.001
286.0	-0.001
286.5	-0.001
287.0	-0.001
287.5	-0.003
288.0	-0.003
288.5	-0.003
289.0	-0.004
289.5	-0.003
290.0	-0.002
290.5	-0.002
291.0	-0.002
291.5	-0.004
292.0	-0.003
292.5	-0.004
293.0	-0.005
293.5	-0.006
294.0	-0.006
294.5	-0.007
295.0	-0.008
295.5	-0.007
296.0	-0.008
296.5	-0.008
297.0	-0.008
297.5	-0.008
298.0	-0.008
298.5	-0.008
299.0	-0.007
299.5	-0.007
300.0	-0.007
300.5	-0.006
301.0	-0.004
301.5	-0.004
302.0	-0.004
302.5	-0.003
303.0	-0.003
303.5	-0.004
304.0	-0.003
304.5	-0.003
305.0	-0.003
305.5	-0.002
306.0	-0.002
306.5	-0.002
307.0	-0.004
307.5	-0.005
308.0	-0.006
308.5	-0.006
309.0	-0.009
309.5	-0.009
310.0	-0.009
310.5	-0.009
311.0	-0.008
311.5	-0.007
312.0	-0.008
312.5	-0.009
313.0	-0.009
313.5	-0.009
314.0	-0.010
314.5	-0.009
315.0	-0.009
315.5	-0.010
316.0	-0.010
316.5	-0.009
317.0	-0.007
317.5	-0.006
318.0	-0.005
318.5	-0.005
319.0	-0.007
319.5	-0.006
320.0	-0.006
320.5	-0.006
321.0	-0.006
321.5	-0.005
322.0	-0.006
322.5	-0.006
323.0	-0.004
323.5	-0.004
324.0	-0.003
324.5	-0.004
325.0	-0.005
325.5	-0.005
326.0	-0.005
326.5	-0.004
327.0	-0.003
327.5	-0.003
328.0	-0.002
